path,condition,age_group,source,strata
Derma AI Images/Eczema/Infant/Visualdx/eczema-infant-body-visualdx.jpg,Eczema,Infant,Visualdx,Eczema||Infant
Derma AI Images/Cellulitis/Infant/Visualdx/cellulitis-infant-thigh-visualdx.jpg,Cellulitis,Infant,Visualdx,Cellulitis||Infant
Derma AI Images/Scabies/Adult/DermNetNZ/scabies-adult-skin-dermnet-14.jpg,Scabies,Adult,DermNetNZ,Scabies||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-chest-visualdx-6.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Scabies/Adult/DermNetNZ/scabies-adult-hand-dermnet-14.jpg,Scabies,Adult,DermNetNZ,Scabies||Adult
Derma AI Images/Ringworm/Child/Visualdx/ringworm-child-skin-visualdx-7.jpg,Ringworm,Child,Visualdx,Ringworm||Child
Derma AI Images/Eczema/Infant/Visualdx/eczema-infant-hand-visualdx-1.jpg,Eczema,Infant,Visualdx,Eczema||Infant
Derma AI Images/Cellulitis/Adult/cellulitis-adult-arm-visualdx-19.jpg,Cellulitis,Adult,cellulitis-adult-arm-visualdx-19.jpg,Cellulitis||Adult
Derma AI Images/Ringworm/Child/Visualdx/ringworm-child-scalp-visualdx-17.jpg,Ringworm,Child,Visualdx,Ringworm||Child
Derma AI Images/Eczema/Infant/Visualdx/eczema-infant-face-visualdx-1.jpg,Eczema,Infant,Visualdx,Eczema||Infant
Derma AI Images/Eczema/Child/Visualdx/eczema-child-leg-visualdx-12.jpg,Eczema,Child,Visualdx,Eczema||Child
Derma AI Images/Eczema/Infant/Visualdx/eczema-infant-hand-visualdx-6.jpg,Eczema,Infant,Visualdx,Eczema||Infant
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-ankle-visualdx-1.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-eye-visualdx-6.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Ringworm/Child/Visualdx/ringworm-child-skin-visualdx-1.jpg,Ringworm,Child,Visualdx,Ringworm||Child
Derma AI Images/Ringworm/Child/Visualdx/ringworm-child-scalp-visualdx-29.jpg,Ringworm,Child,Visualdx,Ringworm||Child
Derma AI Images/Scabies/Infant/Visualdx/scabies-infant-foot-visualdx-6.jpg,Scabies,Infant,Visualdx,Scabies||Infant
Derma AI Images/Scabies/Adult/DermNetNZ/scabies-adult-hand-dermnet-8.jpg,Scabies,Adult,DermNetNZ,Scabies||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-feet-visualdx-13.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Eczema/Child/Visualdx/eczema-child-leg-visualdx-15.jpg,Eczema,Child,Visualdx,Eczema||Child
Derma AI Images/Eczema/Child/Visualdx/eczema-child-leg-visualdx-1.jpg,Eczema,Child,Visualdx,Eczema||Child
Derma AI Images/Cellulitis/Adult/celllulitis-adult-foot-flickr-14.jpg,Cellulitis,Adult,celllulitis-adult-foot-flickr-14.jpg,Cellulitis||Adult
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-hand-visualdx-6.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Eczema/Adult/Visualdx/eczema-adult-arm-visualdx-4.jpg,Eczema,Adult,Visualdx,Eczema||Adult
Derma AI Images/Dermatitis/Infant/Visualdx/dermatitis-infant-face-trunk-visualdx-2.jpg,Dermatitis,Infant,Visualdx,Dermatitis||Infant
Derma AI Images/Ringworm/Adult/Visualdx/ringworm-adult-feet-visualdx-9.jpg,Ringworm,Adult,Visualdx,Ringworm||Adult
Derma AI Images/Eczema/Infant/Visualdx/eczema-infant-cheek-visualdx-8.jpg,Eczema,Infant,Visualdx,Eczema||Infant
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-skin-visualdx-9.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
Derma AI Images/Scabies/Child/Visualdx/scabies-child-hand-visualdx-6.jpg,Scabies,Child,Visualdx,Scabies||Child
Derma AI Images/Dermatitis/Adult/Visualdx/dermatitis-adult-neck-visualdx-12.jpg,Dermatitis,Adult,Visualdx,Dermatitis||Adult
